Year ,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Classification: Exploitation/Exploration,Age since 2013,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2008,Storey; V. C.; Burton-Jones; A.; Sugumaran; V.; and Purao; S. 2008. ÒCONQUER: A Methodology for Context-Aware Query Processing on the World Wide Web;Ó Information Systems Research (19:1); pp. 3_25.,0,,Technical,"""This research presents a methodology, CONQUER (CONtext-aware QUERy processing), that enhances the semantic content ofWeb queries using two complemen- tary knowledge sources: lexicons and ontologies. The methodology constructs a semantic net using the original query as a seed, and refines the net with terms from the two knowledge sources. The enhanced query, repre- sented by the refined semantic net, can be executed by search engines.""",Computational,Technology as performance,Web queries,Technical,,6,4,6,0.67,Exploration,5,,,,,,,,,,,,,,,,,,,1,,,1,2,1,1
2011,Animesh; A.; Viswanathan; S.; and Agarwal; R. 2011. ÒCompeting ÔCreativelyÕ in Sponsored Search Markets: The Effect of Rank; Differentiation Strategy; and Competition on Performance;Ó Information Systems Research (22:1); pp. 153_169.,1,2,Market,"Looks at how Click-Through-Rate (ad performance) in online advertising is driven by by a seller's positioning strategy, by ranks in sponsored search-listings, and by the nature of competition",Tool,Technology as performance,Sponsored search advertising theory,Market,2,5,2,5,0.4,Exploration,2,,,,,,,,,,,,,,,,,,,,,,1,,3,1
2012,Aggarwal; R.; Gopal; R.; Sankaranarayanan; R.; and Singh; P. V. 2012. ÒBlog; Blogger; and the Firm: Can Negative Employee Posts Lead to Positive Outcomes?;Ó Information Systems Research (23:2); pp. 306_322.,1,-,Group/Network,Shows statistical relationships between various blog-related measures - negative comments may actually boost readership,Nominal,Technology as perception,Blogging/citaton theories,Group/Network,9,5,4,5,0.8,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,1,3,1
2011,Oborn; E.; Barrett; M.; and Davidson; E. 2011. ÒUnity in Diversity: Electronic Patient Record Use in Multidisciplinary Practice;Ó Information Systems Research (22:3); pp. 547_564.,1,2,Organization,Qualitative investigation (practice lens) examining use of electronic patient records (EPR) across multidisciplinary team practice,Proxy,Technology as perception,Technology as embedded system ,Organization,0,5,4,5,0.8,Exploration,2,,,,,,,,,,,,,,,,,,,,,,,,3,2
2006,Li; X.-B.; and Sarkar; S. 2006. ÒPrivacy Protection in Data Mining: A Perturbation Approach for Categorical Data;Ó Information Systems Research (17:3); pp. 254_270.,1,1,Organization,Develops a method for cleaning identifiable data that subsequently will be used for data-mining,Computational,Algorithm,linear programming and Bayesian estimation,Organization,14,5,3,5,0.6,Exploitation,7,,,,,,,,,,,,,,,,,,,,1,,1,1,2,
2011,Suh; K.; Kim; H.; and Suh; E. 2011. ÒWHAT IF YOUR AVATAR LOOKS LIKE YOU? DUAL- CONGRUITY PERSPECTIVES FOR AVATAR USE;Ó MIS Quarterly (35:3); pp. 711_729.,1,2,Individual,Draws on dual-congruity perspectives to develop a research model that examines the effect on usage and usefulness of an avatar that resembles the user,Proxy,Technology as Perception,dual-congruity perspectives,individual,5,5,4,5,0.8,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,1,3,1
2012,Cheng; H. K.; and Liu; Y. 2012. ÒOptimal Software Free Trial Strategy: The Impact of Network Externalities and Consumer Uncertainty;Ó Information Systems Research (23:2); pp. 488_504.,1,-,Firm,"""This paper examines the trade-off between the effects of reduced uncertainty and demand cannibalization, uncovers the condition under which software firms should introduce the time-locked free trial software, and finds the optimal free trial time.""",Proxy,Technology as perception,Product trial and sampling (marketing),Firm,9,5,3,5,0.6,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,1,2,2
2012,Xu; L.; Chen; J.; and Whinston; A. 2012. ÒEffects of the Presence of Organic Listing in Search Advertising;Ó Information Systems Research (23:4); p. 1284+1302.,1,,Market,Game-theoretic model of search advertising,Nominal,Technology as absent,economics of informative advertising,Market,,5,1,5,0.2,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,1,2,2
1997,Moore; J.; and Rao; H. 1997. ÒInformation acquisition policies for resource allocation among multiple agents;Ó Information Systems Research (8:2); pp. 151_170.,0,,Group,Investigates information acquisition policies for resource allocation,Computational,Technology as productivity,Decision models,Group,,3,2,5,0.4,Exploration,16,,,,,,,,,,,,1,,,1,2,1,,,,,,,,
2011,Koch; H.; and Schultze; U. 2011. ÒSTUCK IN THE CONFLICTED MIDDLE: A ROLE- THEORETIC PERSPECTIVE ON B2B E-MARKETPLACES;Ó MIS Quarterly (35:1); pp. 123_146.,1,3,Market,"Takes a case study approach to shed light on the nature of conflict that characterizes the ""conflicted middle"".  Also explores how all-in-one e-marketplaces help to resolve the conflicts that brokers, agents, and trading partners experience.",Tool,Technology as changing social relations,"Role, conflict, and transaction cost theories","Firm, Market",5,4,3,4,0.75,Exploration,2,,,,,,,,,,,,,,,,,,,,,,,2,2,
2012,Lim; E. T. K.; Tan; C.; Cyr; D.; and Xiao; B. 2012. ÒAdvancing Public Trust Relationships in Electronic Government: The Singapore E-Filing Journey;Ó Information Systems Research (23:4); pp. 1110_1130.,1,-,Group,"""the analytical framework identifies trust-building strategies (calculative- based, prediction-based, intentionality-based, capability-based, and transference-based trust) to be enacted for restoring public trust via e-government systems.""",Nominal,Technology as absent,Trust-building and relational grammar,Group,6,4,3,4,0.75,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,2,2
2010,Abbasi; A.; Zhang; Z.; and Zimbra; D. 2010. ÒDETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY;Ó MIS Quarterly (34:3); pp. 1_28.,1,2,Artifact,Design science approach to develop a prototype system for detecting fake websites.  ,Computational,Algorithm,Statistical learning theory,Artifact,9,4,4,4,1,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,,2,1,1
2012,Rivard; S.; and Lapointe; L. 2012. ÒINFORMATION TECHNOLOGY IMPLEMENTERSÕ RESPONSES TO USER RESISTANCE: NATURE AND EFFECTS;Ó MIS Quarterly (36:3); pp. 897_920.,1,-,Organization,Develops a model of how implementers respond to user resistance,Nominal,Technology as Absent,Resistance to IT implementation,Organization,10,3,3,3,1,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,2,1
2012,Mani; D.; Barua; a.; and Whinston; a. B. 2012. ÒAn Empirical Analysis of the Contractual and Information Structures of Business Process Outsourcing Relationships;Ó Information Systems Research (23:3-Part-1); pp. 618_634.,1,-,Organization/Network,"""This study integrates perspectives in neo-institutional economics and information processing to develop and test the theoretical argument that the extent of use and performance effects of the information structure of the BPO relationship are greater in time and materials BPO contracts than in fixed-price BPO contracts.""",Proxy,Technology as perception,Contract Theory,Organization/Network,12,3,2,3,0.67,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,3,
2012,Kr_mer; J.; and Wiewiorra; L. 2012. ÒNetwork neutrality and congestion sensitive content providers: Implications for content variety; broadband investment; and regulation;Ó Information Systems Research (23:4); pp. 1303_1321.,1,-,Market,"Examines ""departures from network neutrality through implementing a quality of service tiering regime in which an Internet service provider charges for prioritization on a nondiscriminatory basis""",Nominal,Technology as absent,Network neutrality,Market,10,3,2,3,0.67,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1
2012,Fitoussi; D.; and Gurbaxani; V. 2012. ÒIT Outsourcing Contracts and Performance Measurement;Ó Information Systems Research (23:1); pp. 129_143.,1,1,Organization,Explains how various metrics and incentives are related to multi-object contracts in IT outsourcing,Nominal,Technology as absent,Contract Theory,Organization,11,3,2,3,0.67,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,3,
2010,Li; S.; Shang; J.; and Slaughter; S. A. 2010. ÒWhy Do Software Firms Fail? Capabilities; Competitive Actions; and Firm Survival in the Software Industry from 1995 to 2007;Ó Information Systems Research (21:3); pp. 631_654.,1,2,Organization,"Builds a RBV model that predicts firm survival through the antecedents firm capabilities, and types of competitive actions.",Proxy,Technology as capital,Resource-Based View,Organization,9,3,0,3,0,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,,,2,1
2012,Han; K.; Oh; W.; Im; K.; and Chang; R. 2012. ÒVALUE COCREATION AND WEALTH SPILLOVER IN OPEN INNOVATION ALLIANCES;Ó MIS Quarterly (36:1); pp. 291_315.,1,-,Organization/Network,"Estimates stock returns based on being in an alliance, or recently joining",Nominal,Technology as absent,Open Innovation Alliances,Organization/Network,9,3,1,3,0.33,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,3,
2012,Guillemette; M.; and Par_; G. 2012. ÒTOWARD A NEW THEORY OF THE CONTRIBUTION OF THE IT FUNCTION IN ORGANIZATIONS;Ó MIS Quarterly (36:2); pp. 529_551.,1,,Organization,proposes and tests a new theory of the contribution of the IT function,Proxy,Technology as Perception,IT Management,Organization,,3,3,3,1,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,2,1
2000,Dey; D.; and Sarkar; S. 2000. ÒModifications of Uncertain Data: A Bayesian Framework for Belief Revision;Ó Information Systems Research (11:1); pp. 1_16.,1,,Database,They develop an algorithm for Bayesian belief revision in relational databases,Nominal,Technology as absent,"Relational databases, Bayesian statistics",Database,,2,2,3,0.67,Exploitation,13,,,,,,,,,,,,,,1,,,1,,,1,,,,,
2011,Johar; M.; Menon; S.; and Mookerjee; V. 2011. ÒAnalyzing Sharing in Peer-to-Peer Networks Under Various Congestion Measures;Ó Information Systems Research (22:2); pp. 325_345.,1,,Network,Models the effects of congestion on sharing of files in P2P networks,Nominal,Technology as absent,Network congestion,Network,,3,0,3,0,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,,,3
2011,Roquilly; C. 2011. ÒControl over virtual worlds by game companies: issues and recommendations;Ó MIS Quarterly (35:3); pp. 653_671.,1,,Organization,Makes recommendations how the components of virtual worlds can be managed to ensure control,Ensemble,Technology as structure,"Creativity, Community, Code, and CopyrightCreativity",Organization,,3,0,3,0,Exploration,2,,,,,,,,,,,,,,,,,,,,,,,,2,1
1995,Slater; J. S.; McCubbrey; D. J.; & Scudder; R. A. (1995). Inside an Integrated MBA: An Information Systems View.ÊMIS Quarterly;Ê19(3); 391-410.,1,,Organization,Chronicles the development of an IS course inside an MBA,Nominal,Technology as absent,,,,0,1,2,0.5,-,18,,,,,,,,2,,,,,,,,,,,,,,,,,
2011,Chen; Y.-D.; Brown; S. A.; Hu; P. J.-H.; King; C.-C.; and Chen; H. 2011. ÒManaging Emerging Infectious Diseases with Information Systems: Reconceptualizing Outbreak Management Through the Lens of Loose Coupling;Ó Information Systems Research (22:3); pp. 447_468.,0,2,Market,Develops a framework for Emerging Infectious Disease Outbreak management utilizing a loose coupling conceptualization between local and central staff,Ensemble,Technology as embedded system,Outbreak management theory,Market,0,2,1,2,0.5,-,2,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Li; C.; Peters; G.; Richardson; V.; and Watson; M. 2012. ÒTHE CONSEQUENCES OF INFORMATION TECHNOLOGY CONTROL WEAKNESSES ON MANAGEMENT INFORMATION SYSTEMS: THE CASE OF SARBANES_OXLEY INTERNAL CONTROL REPORTS;Ó MIS Quarterly (36:1); pp. 179_203.,1,-,Organization,"""management forecasts are less accurate for firms with information technology material weaknesses in their financial reporting system than the forecasts for firms that do not have information technology material weaknesses""",Tool,Technology as performance,IT Control theory,Organization,19,2,1,2,0.5,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Davison; R.; Martinsons; M.; and Ou; C. 2012. ÒTHE ROLES OF THEORY IN CANONICAL ACTION RESEARCH;Ó MIS Quarterly (36:3); pp. 763_786.,0,-,Organization,Examines canonical action research and develops an emergent theory of knowledge sharing in a Chinese context,Nominal,Technology as absent,-,-,6,2,1,2,0.5,-,1,,,,,,,,,,,,,,,,,,,,,,,,1,1
2011,Smith; S. P.; Johnston; R. B.; and Howard; S. 2011. ÒPutting Yourself in the Picture: An Evaluation of Virtual Model Technology as an Online Shopping Tool;Ó Information Systems Research (22:3); pp. 640_659.,1,2,Individual,"Evaluates the effectiveness of virtual models in online shopping. The DV is: perceived usefulness of online store, and the DVs are: type of evaluation support, evaluative attitude, feeling informed.",Tool,Technology as enhancer,Consumer-decision making theory,Individual,4,2,0,2,0,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,1,1,
2012,Gupta; A.; and Zhdanov; D. 2012. ÒGROWTH AND SUSTAINABILITY OF MANAGED SECURITY SERVICES NETWORKS: AN ECONOMIC PERSPECTIVE;Ó MIS Quarterly (36:4); pp. 1109_1130.,1,-,Market,Creates a model explaining why firms join managed security service networks,Computational,Model,"Networks, managed security services",Market,5,2,1,2,0.5,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Mehra; A.; and Mookerjee; V. 2012. ÒHUMAN CAPITAL DEVELOPMENT FOR PROGRAMMERS USING OPEN SOURCE SOFTWARE;Ó MIS Quarterly (36:1); pp. 107_122.,1,-,Organization,Developes an analytical model of open source programmer compensation under different labor market conditions.,Nominal,Technology as absent,Optimal control theory,Organization,3,2,0,2,0,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Adomavicius; G.; Bockstedt; J.; and Gupta; a. 2012. ÒModeling Supply-Side Dynamics of IT Components; Products; and Infrastructure: An Empirical Analysis Using Vector Autoregression;Ó Information Systems Research (23:2); pp. 397_417.,1,-,Market,Shows how supply-side IT dynamics can be modelled using Vector Autoregression,Proxy,Technology as diffusion,supply-side push/pull economics,Market,5,2,2,2,1,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,2,
2009,Parssian; A.; Sarkar; S.; and Jacob; V. S. 2009. ÒImpact of the Union and Difference Operations on the Quality of Information Products;Ó Information Systems Research (20:1); pp. 99_120.,1,1,Technical,"How does  union and difference operations in relational databses impact data quality, as measured by accuracy, inaccuracy, mismembership, and incompleteness",Computational,Algorithm,Database theory,Technical,2,1,0,1,0,Exploration,4,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Joseph; D.; Boh; W.; Ang; S.; and Slaughter; S. 2012. ÒTHE CAREER PATHS LESS (OR MORE) TRAVELED: A SEQUENCE ANALYSIS OF IT CAREER HISTORIES; MOBILITY PATTERNS; AND CAREER SUCCESS;Ó MIS Quarterly (36:2); pp. 427_452.,0,-,Individual,Illustrates 3 different IT career paths using sequence analysis,Nominal,Technology as absent,Careers Theory,Individual,8,1,0,1,0,-,1,,,,,,,,,,,,,,,,,,,,,,,,1,
2000,Westland; J. 2000. ÒResearch Report: Modeling the Incidence of Postrelease Errors in Software;Ó Information Systems Research (1993); pp. 320_324.,1,1,Technical,Creates a model to predict the amount of post-release errors in software,Computational,Model,Software testing theory,Technical,4,1,1,1,1,Exploitation,13,,,,,,,,,,,,,,,,,1,,,,,,,,
2004,Krishnan; M. S.; Mukhopadhyay; T.; & Kriebel; C. H. (2004). A Decision Model for Software Maintenance. Information Systems Research; 15(4); 396_412. doi:10.1287/isre.1040.0037,1,2,Technical,"Develops "" a decision model for the maintenance of large software systems"" that helps specify when major and minor upgrades should be made, while minimizing cost and maximizing performance ",Computational, model,Operations Mgt - life cycle models,Organization,7,1,0,1,0,Exploitation,9,,,,,,,,,,,,,,,,,,,,,,,1,,
2009,Adomavicius; G.; Gupta; A.; and Zhdanov; D. 2009. ÒDesigning Intelligent Software Agents for Auctions with Limited Information Feedback;Ó Information Systems Research (20:4); pp. 507_526.,1,2,Market,Describes software agents that conduct auctions to optimize bids and prices,Computational,Model,Auction design,Market,11,1,1,1,1,Exploitation,4,,,,,,,,,,,,,,,,,,,,,1,,,,
2011,Das; S.; Du; A. Y.; Gopal; R.; and Ramesh; R. 2011. ÒRisk Management and Optimal Pricing in Online Storage Grids;Ó Information Systems Research (22:4); pp. 756_773.,1,1,Market,"Models spot-prices and futures for online storage solutions for a single seller facing a known set of buyers. Spot markets mean higher prices for buyers, but futures means no increase in price.",Nominal,Technology as absent,distributed computational economies,Market,3,1,0,1,0,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Park; S.; Huh; S.; Oh; W.; and Han; S. 2012. ÒA SOCIAL NETWORK-BASED INFERENCE MODEL FOR VALIDATING CUSTOMER PROFILE DATA;Ó MIS Quarterly (36:4); pp. 1217_1237.,1,-,Organization,"""based on social network and homophily paradigms in which individuals have a natural tendency to associate and interact frequently with others with similar characteristics, we constructed a relational inference model to determine the accuracy of self-administered consumer profiles""",Computational,Model,Data Quality,Organization,4,1,0,1,0,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Kumar; a.; and Telang; R. 2012. ÒDoes the Web Reduce Customer Service Cost? Empirical Evidence from a Call Center;Ó Information Systems Research (23:3-Part-1); pp. 721_737.,1,-,Organization,"A ""quasi-natural experiment in our field setting and used difference-in-difference specifications to show that the Web-based self-service usage leads to a 14% increase in telephone calls""",Tool,Technology as performance,Call center literature,Organization,7,1,0,1,0,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Gopal; A.; and Koka; B. 2012. ÒTHE ASYMMETRIC BENEFITS OF RELATIONAL FLEXIBILITY: EVIDENCE FROM SOFTWARE DEVELOPMENT OUTSOURCING;Ó MIS Quarterly (36:2); pp. 553_576.,1,-,Organization,Argues that the enacted observation of relational flexibility is driven by perceptions of exchange hazards. The accruing benefits are assymetric.,Nominal,Technology as absent,Relational governance,Organization,3,1,1,1,1,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Langer; N.; Forman; C.; Kekre; S.; and Sun; B. 2012. ÒUshering Buyers into Electronic Channels: An Empirical Analysis;Ó Information Systems Research (23:4); pp. 1212_1231.,1,-,Organization,Creates an analytical model of buyer adoption of electronic channels,Nominal,Technology as absent,Theory on marketing channels,Organization,2,1,1,1,1,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,1,,
2011,Kim; S.; and Mukhopadhyay; T. 2011. ÒDetermining optimal CRM implementation strategies;Ó Information Systems Research (December 2014).,1,,Organization,"For our analysis, we classify CRM technologies into two broad categories: targeting-related and support-related technologies. While targeting CRM improves the success rate of distinguishing between nonloyal and loyal customers, sup- port CRM increases the probability of retaining the loyalty of existing customers.",Tool,Technology as enhancer,CRM/IT Investments,Organization,,1,0,1,0,Exploitation,2,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Goes; P.; Karuga; G.; and Tripathi; A. 2012. ÒBidding Behavior Evolution in Sequential Auctions: Characterization and Analysis.;Ó MIS Quarterly (36:4); pp. 1021_1042.,1,,Market,Analytical modeling of bidding in sequential auctions hosted by online retailers,Nominal,Technology as absent,Auction theory,Market,,0,0,0,#DIV/0!,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Hsu; C.; Lee; J.-N.; and Straub; D. W. 2012. ÒInstitutional Influences on Information Systems Security Innovations;Ó Information Systems Research (23:3-Part-2); pp. 918_939.,1,-,Organization,"the ""model posits that economic-based consideration will moderate the institutional conformity pressure on information security adoption while organization capability will influence the institutional confirmation of information security assimilation.""",Proxy,Technology as Diffusion,Institutional Theory,Organization,4,0,0,0,#DIV/0!,Exploration,1,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Guo; Z.; Koehler; G. J.; and Whinston; a. B. 2012. ÒA Computational Analysis of Bundle Trading Markets Design for Distributed Resource Allocation;Ó Information Systems Research (23:3-Part-1); pp. 823_843.,1,-,Market,"Moves an iterative, agent-based optimization algorithm to an internet context",Computational,Model,Auction theory,Market,4,0,0,0,#DIV/0!,Exploitation,1,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Hosanagar; K.; Han; P.; and Tan; Y. 2010. ÒDiffusion Models for Peer-to-Peer (P2P) Media Distribution: On the Impact of Decentralized; Constrained Supply;Ó Information Systems Research (21:2); pp. 271_287.,1,,Network,Models the difussion of media in P2P networks,Nominal,Technology as absent,Diffusion of innovation,Network,,0,0,0,#DIV/0!,Exploitation,3,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Can Software Influence Creativity?,,1,Individual,Tests if software DSS systems can influence individual creativity,Tool , technology as performance,"DSS research, creativity research",Individual,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Information technology and corporate strategy: a view from the top,,1,Market,Surveys views of IT in industry across 1972-1987 and a range of industries,Nominal , Technology as absent,Theorizing on the importance of IT,Market,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Dimensions of I/S Planning and Design Aids: A Functional Model of CASE Technology,,1,Organization,Tests a model of the effectiveness of a CASE-tool for ISD,Tool , technology as performance,"IS planning/design, CASE tools",Organization,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,The adoption of spreadsheet software: testing innovation diffusion theory in the context of end-user computing,,2,Organization,"Tests hypotheses around adoption/diffusion of IT innovations, specifically spreadsheets",Proxy , technology as diffusion,Diffusion of innovation,Organization,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Software-Effort Estimation: An Exploratory Study of Expert Performance,,3,Individual,Exploratory study of managers estimation capacities with regards to software projects. Extracts categories of algorithmic and analogic strategies,Nominal , Technology as absent,Cognitive psychology/information processing,Individual,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,The Impact of Computerized Performance Monitoring on Service Work: Testing a Causal Model,,1,Individual,"""This research examined the impact of Computerized Performance Monitoring and Control Systems (CPMCSs) on service workers and their perceptionsof work. Drawing on a thermostat model of control systems, the work built acausal model ofCPMCS impact.""",Ensemble , technology as structure,Computer monitoring + control systems,Individual,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Building an Information System Design Theory for Vigilant EIS,,3,Organization,Creates a theoretical foundation for ISD Theory,Tool , Information Processing,"Managerial information-scanning, emerging issue tracking",Organization,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,The Relationship Between Investment in Information Technology and Firm Performance: A Study of the Valve Manufacturing Sector,,1,Organization,Empirical testing of IT investment on firm performance,Proxy , technology as capital,IT investment/firm performance theory,Organization,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,After-Hours Telecommuting and Work-Family Conflict: A Comparative Analysis,,2,Individual,"""This study examined how after-hours telecommuting affects an individual's abilityto balance work and family demands (measured as role overload, spillover ofinterference from work to family and spillover of interference from family towork).",Nominal , Technology as absent,Work-family conflict,Individual,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,A Classification of Information Systems: Analysis and Interpretation,,1,Organization,Creates a taxonomy of IS systems,Tool , Information Processing,Technological evolution,Organization,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,MODFORM: a knowledge-based tool to support the modeling proces,,1,Organization,Designs a tool for supporting mathematical modelling processes,Computational , model,Linear programming,Organization,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,The information age confronts education: Case studies on electronic classrooms,,1,Group,Case studies on technology is used in the university classroom and propose a research model for electronic classrooms,Ensemble , technology as structure,CAI-research,Group,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
