Year ,Type of Study,Journal,Citation,Has a middle-range model? (1=Y/0=N),Level ,Unit of Analysis,IT Phenomenon,Treatment of IT,Subaspect of IT,Source Theory,Source Theory's Unit of Analysis,Cited by (Google Scholar),Total Cites - last 10 years,Information Science & Library Science Citations (ISI Web of Science - SSCI),Total Citations by (ISI Web of Science - SSCI),% of citations in IS domain,Theory Borrowed (Yes/No),Primary (outside of IS) or Secondary (inside of IS) borrowing?,1_Classification: Exploitation/Exploration,2_Classification: Exploitation/Exploration,3_Classification: Exploitation/Exploration,4_Classification: Exploitation/Exploration,"Classification: instantiation, modifying, or extending","Magnitude: none, small, medium, large",Constructs/relationship/logic changed?,"If Not Borrowed, is Source Theory Inductive or Axiomatic?",Cannot be Classified (Notes),Comments,Why cited?,Age since 2013,Cites in first 5 years,Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,h1_intial_author_1,h1_2013_author_1,h1_intial_author_2,h1_2013_author_2,h1_intial_author_3,h1_2013_author_3,h1_intial_author_4,h1_2013_author_4,h1_intial_author_5,h1_2013_author_5,h1_initial_sum,h1_2013_sum,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
1997,Survey,MISQ,"Gefen, D., & Straub, D. W. (1997). Gender Differences in the Perception and Use of E-Mail: An Extension to the Technology Acceptance Model.¾MIS Quarterly,¾21(4), 389-400.",1,,Individual,Tests moderation of TAM by gender,Proxy,Technology as perception,TAM,Individual,,287,122,367,0.33,Yes,Secondary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,Simply moderates TAM by gender,,,Simply moderates TAM by gender,"Platform research, works as a mass cite, also shows that gender is an important variable",16,,5,2008,,,,,,,,,1,2,10,12,15,22,18,21,23,31,29,36,36,37,24,23,27,2,29,12,36,,,,,,,14,65,1997,MIS Quarterly: Management Information Systems,21,4,,389,400,,852,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001461229&partnerID=40&md5=b3c60b6f4cebaee523f904accd64c94d,Article,Scopus,2-s2.0-0001461229
2005,Survey,ISR,"Palmer, J. W. 2005. –Web Site Usability, Design, and Performance Metrics,” Information Systems Research (13:2), pp. 151_167.",1,3,Individual,"Defines constructs to measure website success, including download delay, navigability, site content, interactivity, and responsiveness",Tool,Technology as performance,Usability theory and media richness theory,Individual,868,251,97,270,0.36,Yes,Secondary,Exploration,Exploration,Exploitation,Exploration,Modifying,Medium,Defines multiple new constructs,-,,Draws on usability theory and media richness theory to define metrics of website success,,8,,3,2010,,,,,,,,,,,,,2,5,12,19,22,19,25,29,36,31,27,29,14,13,16,,,,,,,,,13,16,2002,Information Systems Research,13,2,,151,167,,666,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036015965&partnerID=40&md5=c9d202c470d62d330fa5bc856f8461d1,Article,Scopus,2-s2.0-0036015965
1999,Survey,ISR,"Armstrong, C. P., and Sambamurthy, V. 1999. –Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,” Information Systems Research (10:4), pp. 304_327.",1,2,Organization,Builds a model of the effects of IT infrastructure and senior leadership on IT assimilation,Proxy,Technology as perception,RBV+knowledge based view,Organization,567,159,102,185,0.55,Yes,Primary,Exploration,Exploration,Exploitation,Exploration,Modifying,Medium,"Adds ""strategic IT vision"" as a moderator and ""IT infrastructure sophistication"" as an IV",-,-,Applies RBV+KBV on IT assimilation,,14,,3,2010,,,,,,,,,,,2,4,3,10,7,7,19,12,16,6,25,24,20,20,10,1,2,9,26,,,,,,,10,28,1999,Information Systems Research,10,4,,304,327,,435,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0033266809&partnerID=40&md5=9599ba452b7e72b3e4c7bb48adaa9ad3,Article,Scopus,2-s2.0-0033266809
1998,Theoretical,MISQ,"Zigurs, I., and Buckland, B. 1998. –A Theory of Task/Technology Fit and Group Support Systems Effectiveness,” MIS Quarterly (September), pp. 313_335.",1,-,Group,"""This paper develops a theory of task/technology fit in GSS environments based on attributes of task complexity and their relationship to relevant dimensions of GSS technology.""",Tool,Technology as performance,Group Support Systems (GSS),Group,689,145,67,182,0.37,Yes,Secondary,Exploration,Exploitation,Exploitation,Exploration,Modifying,Medium,Concept of fit is exlicitly defined and related to all other constructs,-,-,Somewhere between instantiation and modifying,,15,,5,2008,,,,,,,,,,,3,7,4,8,14,10,14,14,20,17,24,9,15,15,7,7,12,1,2,,,,,,,8,14,1998,MIS Quarterly: Management Information Systems,22,3,,313,334,,447,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001532071&partnerID=40&md5=ec09f652b2cd76fccbc73830db442179,Article,Scopus,2-s2.0-0001532071
2002,Survey,ISR,"Zhu, K. 2002. –E-commerce metrics for net-enhanced organizations: Assessing the value of e-commerce to firm performance in the manufacturing sector,” Information Systems Research (13:3), pp. 275_295.",1,2,Organization,"Theorizes metrics for measuring e-commerce as it relates to performance in the manufacturing sector. These include dimensions of information, transaction, customization, and supplier connection.",Tool,Technology as productivity,Dynamic capabilities and resource-based view,Organization,440,156,48,163,0.29,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,"Creates new IS-specific metrics that help to measure the resource-based view amended with the dynamic capabilities perspective. Adds theoretical specification, but does not modify the borrowed constructs",,11,,4,2009,,,,,,,,,,,,,1,1,5,12,15,17,13,21,20,21,10,18,9,1,13,,,,,,,,,1,13,2002,Information Systems Research,13,3,,275,295,,354,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036738812&partnerID=40&md5=5d3f01a5559f9c5a0d7937b902b1fa89,Article,Scopus,2-s2.0-0036738812
1996,Theoretical,MISQ,"Kumar, K., & van Dissel, H. G. (1996). Sustainable Collaboration: Managing Conflict and Cooperation in Interorganizational Systems.¾MIS Quarterly,¾20(3), 279-300.",1,,Organization/Network,Creates a typology of information-related interorganizational systems,Ensemble,Technology as structure,Interorganizational collaboration,Organization/Network,,120,51,157,0.32,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,Adapts constructs to IT context,,,Adapts constructs to IT contexts and creates a novel typology,,17,,4,2009,,,,,,,,,5,4,10,6,4,4,4,7,6,12,10,15,16,19,10,12,13,10,18,2,3,,,,,,,12,21,1996,MIS Quarterly: Management Information Systems,20,3,,279,299,,445,,http://www.scopus.com/inward/record.url?eid=2-s2.0-9744272494&partnerID=40&md5=21fda224ec8afb9a5b732672d53fb2c5,Article,Scopus,2-s2.0-9744272494
2004,Theoretical,MISQ,"Swanson, E., and Ramiller, N. 2004. –Innovating Mindfully with Information Technology,” MIS Quarterly (28:4), pp. 553_583.",1,2,Org,Research essay examining organizational innovation with IT,Nominal,Technology as Absent,Mindfulness,Individual,310,97,55,97,0.57,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,The mindfulness concept was originally formulated at the individual level but Weick and colleagues argued for extending it to the organizational level. This paper extends the concept further to mindfulness in IT innovation in particular.,,9,,3,2010,,,,,,,,,,,,,,,,,4,10,7,14,19,10,17,12,4,15,19,6,10,,,,,,,21,29,2004,MIS Quarterly: Management Information Systems,28,4,,553,583,,313,,http://www.scopus.com/inward/record.url?eid=2-s2.0-9744280481&partnerID=40&md5=eb6d522bd2da526d4051a4442b9e619c,Review,Scopus,2-s2.0-9744280481
1994,Mixed-Methods,MISQ,"Brown, C. V., & Magill, S. L. (1994). Alignment of the IS Functions With the Enterprise: Toward a Model of Antecedents.¾MIS Quarterly,¾18(4), 371-403.",1,,Organization,"Developers a model of antecendents (environmental, organizational, and IS-specific) that predicts whether organizations use decentralized, centraized, or hybrid locus of responsibility for IS organization design",Ensemble, technology as structure,"Contingency theory, organizational structure theory",Organization,,58,63,93,0.68,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,"Draws new relationship between organizational/environmental contingencies, other IS factors, and IS organization design (DV)",,,"Integration of multiple concepts, but no new conceptual development",,19,,7,2006,,,,,,1,3,4,1,6,2,6,6,3,3,2,13,5,4,3,5,8,9,5,4,3,12,2,4,,,,,,,5,16,1994,MIS Quarterly: Management Information Systems,18,4,,371,395,,256,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000409290&partnerID=40&md5=d09bf0b153db7b957787db542b2d6584,Article,Scopus,2-s2.0-0000409290
2001,Survey,MISQ,"Barki, H., and Hartwick, J. 2001. –Interpersonal Conflict and Its Management in Information System Development,” MIS Quarterly (25:2), pp. 195_228.",1,2,Project,"This paper tests a model of how individuals participating in ISD projects perceive interpersonal conflict (in terms of disagreement, interference, and negative emotion), management of the conflict, and ISD outcomes (process satisfaction, system quality, system attitude, adherence to budget, adherence to schedule, adherence to specifications, overall success) (DVs).",Proxy,Technology as perception,Intepersonal conflict literature,"Project, System, Individual, Organization",255,75,27,81,0.33,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,Uses configuration of constructs from interpersonal conflict literature -- adapted to an ISD context,,12,,4,2009,,,,,,,,,,,,,1,4,1,5,6,6,10,15,16,7,4,4,2,12,16,12,13,,,,,,,24,29,2001,MIS Quarterly: Management Information Systems,25,2,,195,228,,175,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0037501727&partnerID=40&md5=360d1031e539c6f2e6fcf7f497086afb,Article,Scopus,2-s2.0-0037501727
2002,Theoretical,ISR,"Wheeler, B. C. 2002. –NEBIC : A Dynamic Capabilities Theory for Assessing Net-Enablement,” Information Systems Research (13:2), pp. 125_146.",1,2,Organization,"Develops a theory of net-enabled dynamic capabilities using the constructs choosing new IT, matching economic opportunities with IT, executing business innovation for growth,  theorized to lead to Value Potential, andassessing customer value, theorized to lead to Value Realized",Tool,Technology as productivity,Dyanamic capabilities,Organization,238,71,39,80,0.49,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,"Creates new IT-specific constructs, while maintaining the dynamic capabilities logic",-,-,"Substantial theory development within  the framework of dynamic capabilities, but does not modify any constructs, only adds more specificity",,11,,5,2008,,,,,,,,,,,,,2,2,5,6,8,6,11,7,8,10,4,10,1,10,10,,,,,,,,,10,10,2002,Information Systems Research,13,2,,125,146,,202,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0036015966&partnerID=40&md5=dafd30a07d2409e8452a9368156a7104,Article,Scopus,2-s2.0-0036015966
2004,Qualitative,ISR,"Schultze, U., & Orlikowski, W. J. (2004). A Practice Perspective on Technology-Mediated Network Relations: The Use of Internet-Based Self-Serve Technologies. Information Systems Research, 15(1), 87_106. doi:10.1287/isre.1030.0016",1,3,Organization,"Explains the effects of IT as a Toolto mediate electronic brokerage relationships. IT created more arms-length relationships with less trust/intimacy, more self interest and less social capital",Tool,technology as changing social relations,Structuration Theory,Organization,193,75,41,75,0.55,Yes,Secondary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,Interfirm relationships modified by IT,-,"Uses ST, cites Giddens/Orlikowski, makes some additions, but not extensively","Qualitative without clearly defined DVs, however dinstict differences can be seen after introduction of IT. Balances between views of IT as Ensembleand Tool(changing social relations)",,9,,3,2010,,,,,,,,,,,,,,,,2,5,6,11,8,6,13,11,8,5,9,13,21,29,,,,,,,30,42,2004,Information Systems Research,15,1,,87,106+108,,174,,http://www.scopus.com/inward/record.url?eid=2-s2.0-2442718978&partnerID=40&md5=18afa2bebdcda73ac5da7c4ad4b340f3,Review,Scopus,2-s2.0-2442718978
2004,Qualitative,ISR,"Kirsch, L. J. 2004. –Deploying Common Systems Globally: The Dynamics of Control,” Information Systems Research (15:4), pp. 374_395.",1,,Organization,Examines how control is exercised during different phases of global IS requirements determination/development/implementation,Ensemble,Technology as development project,Control/governance theory,Organization,,73,50,74,0.68,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploration,Modifying,Small,Modifes control construct to make more specific to various development phases,-,-,Generates new concepts - which builds on previous concepts,,9,,2,2011,,,,,,,,,,,,,,,,,3,4,5,14,6,7,12,16,6,9,17,,,,,,,,,9,17,2004,Information Systems Research,15,4,,374,395,,180,10.1287/isre.1040.0036,http://www.scopus.com/inward/record.url?eid=2-s2.0-13244253851&partnerID=40&md5=edb7ef653198e18d782789a7c00c820e,Review,Scopus,2-s2.0-13244253851
1994,Theoretical,MISQ,"Hirschheim, R., and Klein, H. 1994. –Realizing Emancipatory Principles in Information Systems Development_: The Case for ETHICS,” MIS Quarterly (March), pp. 83_109.",0,,Organization,Reformulates the ETHICS approach to be more emancipatory,Ensemble,Technology as development project,ISD,Organization,,49,52,70,0.74,Yes,Secondary,Exploration,Exploration,Exploitation,Exploration,Modifying,Medium,Modifies ISD constructs to be more emancipatory,-,-,Slight modifications with large implications,,19,,6,2007,,,,,,1,1,2,2,3,4,4,3,,1,3,5,8,4,3,7,7,5,4,3,14,31,9,17,,,,,,,23,48,1994,MIS Quarterly: Management Information Systems,18,1,,83,105,,159,,http://www.scopus.com/inward/record.url?eid=2-s2.0-53349119070&partnerID=40&md5=5fdaac7ddc7c13ec079f1a2659fbf13b,Article,Scopus,2-s2.0-53349119070
2008,Survey,MISQ,"Predicting different conceptualizations of system use: the competing roles of behavioral intention, facilitating conditions, and behavioral expectation.",1,1,Individual,"IVs: Behavioral Intention, Facilitating Condition, Behavioral Expectation; DV: Use (Duration, Frequency, Intensity)",Proxy,Technology as Perception,TAM and UTAUT,Individual,129,70,30,70,0.43,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,"Adds behavioral expectation as a mediating variable between behavioral intention, facilitating conditions, and use.",,5,,1,2012,,,,,,,,,,,,,,,,,,,,3,9,13,21,17,7,30,40,14,19,6,11,5,8,,,55,78,2008,"	MIS Quarterly: Management Information System",32,3,,483,502,,177,,http://www.scopus.com/inward/record.url?eid=2-s2.0-50249107569&partnerID=40&md5=4b994a71a5c57eaa863cdf5fbdd0709f,Article,Scopus,2-s2.0-50249107569
1999,Survey,MISQ,"Nambisan, S., Agarwal, R., and Tanniru, M. 1999. –ORGANIZATIONAL MECHANISMS FOR ENHANCING USER INNOVATION IN INFORMATION TECHNOLOGY,” MIS Quarterly (23:3), pp. 365_395.",1,-,Organization,"""The effects of various classes of mechanisms on three key antecedents of user propensity to innovate in IT-technology cognizance, ability to explore a technology, and intention to explore a technology are tested using a field study.""",Proxy,Technology as Perception,Knowledge Creation,Organization,288,53,36,68,0.53,Yes,Primary,Exploration,Exploration,Exploitation,Exploration,Modifying,Medium,"Modifies knowledge creation constructs to be more IT specific (IT cognizance, ability to explore a technology, & intention to explore a technology)",-,-,Modifies constructs from knowledge creation literature slightly,,14,,5,2008,,,,,,,,,,,,,5,5,5,4,2,7,6,6,6,9,3,8,2,2,17,14,35,12,19,,,,,28,71,1999,MIS Quarterly: Management Information Systems,23,3,,365,395,,162,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001250427&partnerID=40&md5=8e411ca293e0c3873bf89b3abc360884,Article,Scopus,2-s2.0-0001250427
1998,Qualitative,ISR,"Jarvenpaa, S. L., & Leidner, D. E. (1998). An Information Company in Mexico: Extending the Resource-Based View of the Firm to a Developing Country Context. Information Systems Research, 9(4), 342_361.",1,2,Organization,Extends dynamic capabilities framework to an IT context in a developing country,Nominal,Technology as absent,RBV and dynamic capabilities theory,Organization,218,53,35,67,0.52,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,Borrows RBV and adapts to IT/developing country,,15,,5,2008,,,,,,,,,,,3,,2,4,5,6,5,7,2,3,7,4,10,6,3,21,35,8,26,,,,,,,29,61,1998,Information Systems Research,9,4,,342,361,,162,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0032250053&partnerID=40&md5=5eae0f4c2f8dbabdcac9001db62cce01,Article,Scopus,2-s2.0-0032250053
1994,Survey,ISR,Organizational Characteristics and Information Systems Planning: An Empirical Study,1,2,Organization,Builds a model of organizational characteristics that influence IS Planning System Characteristics,Nominal, Technology as absent,IS planning + various organization studies fields,Organization,210,34,31,64,0.48,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,New relationships between IS and org constructs,,,Implements org theory in IS,,19,,8,2005,,,,,,,1,5,2,6,5,2,2,5,2,4,3,5,7,2,5,5,1,,2,8,18,19,33,,,,,,,27,51,1994,Information Systems Research,5,2,,75,109,,140,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0002904380&partnerID=40&md5=3a482a99e83820f763d07e22fa1ca065,Article,Scopus,2-s2.0-0002904380
2002,Qualitative,MISQ,"Davidson, E. 2002. –Technology frames and framing: A socio-cognitive investigation of requirements determination,” MIS Quarterly (26:4), pp. 329_358.",1,1,Individual,"Longitudinal case study investigating how technology frames of reference (i.e. understanding of nature of the technology, technology strategy, and technology-in-use) influence ISD project participants' understanding of requirements.",Ensemble,Technology as Development Project,Technology frames of reference,Individual<->Macro,159,56,40,57,0.7,Yes,Secondary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,"Modifies technology frames of reference (Orlikowski and Gash) by incorporating notions of ""frame shifts"" due to contextual changes in requirements gathering process",-,-,"Modifies technology frames of reference (Orlikowski and Gash) by incorporating notions of ""frame shifts"" due to contextual changes in requirements gathering process",,11,,3,2010,,,,,,,,,,,,,,,1,3,2,7,5,5,6,6,7,12,3,4,14,,,,,,,,,4,14,2002,MIS Quarterly: Management Information Systems,26,4,,329,358,,142,,http://www.scopus.com/inward/record.url?eid=2-s2.0-8444245730&partnerID=40&md5=7593de14ebb28eb44f6615b2e0fdff5b,Review,Scopus,2-s2.0-8444245730
1998,Survey,MISQ,"Watson, R., Pitt, L., and Kavan, C. 1998. –Measuring Information Systems Service Quality: Lessons From Two Longitudinal Case Studies,” MIS Quarterly (March).",1,-,Organization,"""The paper concludes by recognizing that delivering IS service quality requires action at three levels (strategic, tactical, and operational)""",Proxy,Technology as Perception,Service Quality,Organization,269,41,30,52,0.58,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,"Parses service quality along several levels: strategic, tactical ,operational",-,-,"Slight articulation of service quality, logic does not change",,15,,5,2008,,,,,,,,,,,2,1,6,0,2,5,4,4,3,6,2,6,3,6,2,18,30,12,28,3,7,,,,,33,65,1998,MIS Quarterly: Management Information Systems,22,1,,61,76,,137,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0002024292&partnerID=40&md5=1e84980fa88a4fb39cec9d25b99bc4e9,Article,Scopus,2-s2.0-0002024292
1996,Qualitative,MISQ,"Markus, M. L., & Benjamin, R. I. (1996). Change Agentry - the Next IS Frontier.¾MIS Quarterly,¾20(4), 385-407.",0,,Individual,Conceptualizes IS specialist as change agents,Nominal,Technology as absent,Organizational Development,Individual,,23,32,48,0.67,Yes,Primary,Exploration,Exploration,Exploitation,Exploration,Modifying,Medium,Outlines specific forms of IS change agentry,,,Refines source theory in the IS context,,17,,9,2004,,,,,,,,,,5,6,3,4,5,2,2,,1,5,1,4,4,1,3,2,7,24,8,9,,,,,,,15,33,1996,MIS Quarterly: Management Information Systems,20,4,,385,407,,100,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0001427198&partnerID=40&md5=c9c72ab82b40cb1b2a960dfc6285112f,Article,Scopus,2-s2.0-0001427198
1999,Theoretical,MISQ,"Gregor, S., and Benbasat, I. 1999. –EXPLANATIONS FROM INTELLIGENT SYSTEMS: THEORETICAL FOUNDATIONS AND IMPLICATIONS FOR PRACTICE,” MIS Quarterly (23:4), pp. 497_530.",1,-,Group,Builds a number of propositions with regards to how intelligent systems create explanations of their behavior,Proxy,Technology as Perception,Cognitive Science,Group,233,41,25,47,0.53,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,Adapts explanations to be IT-specific,-,-,"Extracts constructs from literature review and relates them in novel ways. Explanations are adapted to the IT context, but everything else is the same.",,14,,5,2008,,,,,,,,,,,,2,2,,,3,9,5,4,4,2,6,2,2,4,1,12,31,54,,,,,,,32,66,1999,MIS Quarterly: Management Information Systems,23,4,,497,530,,145,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000686460&partnerID=40&md5=10e1777b30e1c3712b1efba4e20c4d99,Article,Scopus,2-s2.0-0000686460
2008,Experiment,ISR,"Robert, L. P., Dennis, A. R., and Ahuja, M. K. 2008. –Social Capital and Knowledge Integration in Digitally Enabled Teams,” Information Systems Research (19:3), pp. 314_334.",1,2,Group,"How does social capital, communication environment, knowledge integration lead to team decision quality in virtual teams?",Tool,"Technology as productivity, performance, enhancer",Social capital,Group,77,43,25,43,0.58,Yes,Primary,Exploration,Exploitation,Exploitation,Exploration,Modifying,Medium,"Combines social capital theory with multiple other constructs such as communication environment, knowledge integration, and team decision quality",-,-,Adapts social capital theory in a new context,,5,,1,2012,,,,,,,,,,,,,,,,,,,,1,6,7,13,12,4,3,6,34,36,12,14,,,,,49,56,2008,Information Systems Research,19,3,,314,334,,120,10.1287/isre.1080.0177,http://www.scopus.com/inward/record.url?eid=2-s2.0-61349174715&partnerID=40&md5=ba41a14810cafd64470989cbaf97ffa5,Article,Scopus,2-s2.0-61349174715
2003,Analytical Modeling,ISR,"Png, Y. C. I. 2003. –Information Goods Pricing and Copyright Enforcement: Welfare Analysis,” Information Systems Research (14:1), pp. 107_123.",1,2,Market,"Examines government policy instruments (fines, subsidies, and taxes) on software piracy and how these impact unethical user benefit and wellfare.",Nominal,Technology as context,Classical economics,Market,119,40,8,41,0.2,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,"Integrates economic theorizing on fines, taxes, and subsidies and applies it on copyrighted software. The theorizing is novel, but contains little IT-specific contents",,10,,3,2010,,,,,,,,,,,,,,,1,1,2,4,8,4,6,2,7,6,,8,13,2,5,,,,,,,10,18,2003,Information Systems Research,14,1,,107,123,,77,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0038640443&partnerID=40&md5=66c7f759128d404430cfe2b6cc95eed0,Article,Scopus,2-s2.0-0038640443
2005,Analytical Modeling,ISR,"Gal-Or, E., and Ghose, A. 2005. –The Economic Incentives for Sharing Security Information,” Information Systems Research (16:2), pp. 186_208.",1,2,Market,"Using a game theoretical framework, the authors outline the factors that increase the value of sharing security information. Factors that increase this value are higher product substitutability, and increased firm size.",Nominal,Technology as absent,Game theory,Market,128,35,14,35,0.4,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,-,-,-,Set in a technology context without technology specific variables,,8,,2,2011,,,,,,,,,,,,,,,,,,2,6,2,3,5,4,8,5,11,14,1,1,,,,,,,12,15,2005,Information Systems Research,16,2,,186,208,,93,10.1287/isre.1050.0053,http://www.scopus.com/inward/record.url?eid=2-s2.0-30344462995&partnerID=40&md5=558f8ba7a42ef9beff54bcb1fb4c982e,Article,Scopus,2-s2.0-30344462995
2005,Experiment,MISQ,"Suh, K., and Lee, Y. 2005. –The Effects of Virtual Reality on Consumer Learning: An Empirical Investigation,” MIS Quarterly (29:4), pp. 673_697.",1,2,Individual,"This study draws on the theory of cognitive fit to investigate how fit between virtual reality interfaces (media richness, interactivity, and telepresence) and product type (high/low experiential products) enhances customer learning (DV) about products. A 2 x 2 factorial design was used to test hypotheses. ",Tool,"Technology as productivity, performance, enhancer",Cognitive Fit Theory,Individual,102,33,13,33,0.39,Yes,Primary,Exploration,Exploitation,Exploitation,Exploration,Modifying,Medium,Uses the logic of the source theory but introduces several IT specific constructs,-,-,The paper's research model is consistent with configuration of constructs in cognitive fit theory --but adapts the model to study VR in B2C e-commerce.,,8,,2,2011,,,,,,,,,,,,,,,,,2,3,5,2,3,9,5,2,2,5,7,3,5,,,,,,,8,12,2005,MIS Quarterly: Management Information Systems,29,4,,673,697,,97,,http://www.scopus.com/inward/record.url?eid=2-s2.0-30344471695&partnerID=40&md5=ab46c054e2512cc7787fa626fb419d35,Article,Scopus,2-s2.0-30344471695
2006,Econometrics,MISQ,"So, C., Markus, M. L., and Goh, K. H. 2006. –ELECTRONIC MARKETPLACES AND PRICE TRANSPARENCY: STRATEGY, INFORMATION TECHNOLOGY, AND 5UCCESS,” MIS Quarterly (30:3), pp. 705_723.",1,,Organization,"""To understand how EMPs could succeed, regardless of price transparency, we examined the relationships among EMP strategy, price transparency, and performance by analyzing all 19 EMPs that compete by selling a broad range of stan-dard electronics components. We found that all EMPs pur-suing a low cost strategy had high price transparency and performed poorly. All EMPs that performed well pursued strategies of differentiation, but, interestingly, not all suc-cessful EMPs avoided price transparency: Some EMPs suc-ceeded despite enabling high price transparency.""",Nominal,Technology as context,Strategic Management Theory,Organization,,32,18,32,0.56,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,Shows new relationships between well known constructs,-,-,Shows new relationships between well known constructs,,7,,2,2011,,,,,,,,,,,,,,,,,,1,2,3,6,5,5,7,3,8,12,24,25,2,4,,,,,34,41,2006,MIS Quarterly: Management Information Systems,30,3,,705,723,,71,,http://www.scopus.com/inward/record.url?eid=2-s2.0-33845981524&partnerID=40&md5=c4b23c29664c4ff4278360599e334551,Article,Scopus,2-s2.0-33845981524
2000,Qualitative,MISQ,Information Technology Development Creativity: A Case Study of Attempted Radical Change ,1,2,Group,Case study approach used to examine the use of IT as an enabler of organizational re-engineering  ,Nominal,Technology as absent,theory of creativity,Group,119,24,15,31,0.48,Yes,Primary,Exploitation,Exploitation,Exploitation,Exploration,Modifying,Small,-,-,-,Adapts the theory of creativity to the context of IT as an enabler of organizational change,,13,,6,2007,,,,,,,,,,,,,2,4,4,4,1,5,2,2,3,2,3,1,1,8,12,,,,,,,,,8,12,2000,MIS Quarterly: Management Information Systems,24,2,,245,276,,71,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0000243890&partnerID=40&md5=efc3270f59361614119ca3b02c178c7e,Article,Scopus,2-s2.0-0000243890
2007,Survey,ISR,"Mishra, a. N., Konana, P., & Barua, a. (2007). Antecedents and Consequences of Internet Use in Procurement: An Empirical Investigation of U.S. Manufacturing Firms. Information Systems Research, 18(1), 103_120. doi:10.1287/isre.1070.0115",1,2,Organization,"Builds a model of internet usage in procurement, as a way of predicting procurement process performance.  The antecedents are digitzation, diversity of knowledge, perception of technological uncertainty, and perceptions of volume uncertainty",Proxy,Technology as diffusion,Resource-based view,Organization,48,27,9,27,0.33,Yes,Primary,Exploration,Exploration,Exploitation,Exploration,Modifying,Medium,"Adds digitization, perceptions of tech uncertainity, and internet usage",-,-,RBV in a technological context,,6,,1,2012,,,,,,,,,,,,,,,,,,,,1,3,8,6,6,3,1,5,13,14,16,18,,,,,30,37,2007,Information Systems Research,18,1,,103,120,,71,10.1287/isre.1070.0115,http://www.scopus.com/inward/record.url?eid=2-s2.0-34247495636&partnerID=40&md5=3af4c23f32ff79dfe6bab8ad3b2b893b,Article,Scopus,2-s2.0-34247495636
1998,Experiment,ISR,"Marakas, G., and Elam, J. 1998. –Semantic structuring in analyst acquisition and representation of facts in requirements analysis,” Information Systems Research.",1,2,Individual,Examines a process of semantic structuring in analyst-user interviews to determine information requirements in software,Nominal,Technology as absent,Information Requirements + Psychology of questions,Individual,86,15,15,27,0.56,Yes,Primary,Exploitation,Exploration,Exploitation,Exploration,Modifying,Small,Inductively develops context-specific semantic structuring patterns,-,"Inductive, but draws heavily from the source theory",Applies psychological constructs to information reuqirements work,,15,,7,2006,,,,,,,,,,,,2,,2,4,2,2,2,3,,,3,,3,,4,12,14,15,,,,,,,18,27,1998,Information Systems Research,9,1,,37,63,,66,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0032385074&partnerID=40&md5=57dca0c4b9e756d176be3310b274cc92,Article,Scopus,2-s2.0-0032385074
